CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
192,13.53,3.8,14.76,2.786666667,510,3.166666667,900,1000,1133.333333,1153.333333,1270,1146.666667,1200,1340,12120,93.1,5.14,12.39,23.65,62.55,63.39
192,13.25,3.99,13.95,4.04,508,2.966666667,900,1000,1143.333333,1138.333333,1275,1106.666667,1200,1455,11775,93.14,5.23,12.37,24.32,62.43,63.21
192,13.23,5.98,12.53,3,485,3.4,900,1000,1100,1220,1300,1280,1180,1100,11865,93.63,4.49,12.07,24.02,62.31,63.36
192,13,3.8,17,3.12,500,3.3,900,1020,1113.333333,1220,1280,1280,1263.333333,1000,10005,92.76,4.54,12.58,23.96,62.07,63.11
192,12.96,3.87,14,3.056666667,473.1666667,3.4,820,1000,1150,1200,1260,1260,1250,900,11880,92.75,5.44,12.25,23.42,62.14,62.88
192,12.93,3.96,13,3.063333333,477.8333333,2.933333333,920,1020,1150,1230,1260,1260,1250,880,13375,93.5,4.74,12.05,23.64,62.2,63.29
192,12.88,6.44,16,2.69,504.1666667,2.816666667,950,1050,1150,1250,1280,1250,1200,900,11650,93.51,4.96,11.83,23.62,61.87,62.71
192,12.7,6.19,26,2.81,499.6666667,2.933333333,950,1050,1150,1250,1280,1200,1066.666667,900,3070,93.65,4.9,12.23,23.6,61.88,62.87
192,12.55,3.87,13.2,3.15,495,3.2,920,1040,1170,1233.333333,1293.333333,1273.333333,1180,1100,12665,93.96,4.61,12.39,22.95,62.32,63.19
192,12.47,3.92,14,3.063333333,478,3.483333333,900,1000,1130,1230,1286.666667,1250,1250,900,12510,92.77,5.44,12.28,23.94,62.01,62.86
192,11.98,3.89,13,3.15,500,3.4,936.6666667,1056.666667,1156.666667,1236.666667,1286.666667,1286.666667,1250,966.6666667,13355,92.99,5.15,12.01,24.02,62.29,63.36
192,11.92,3.95,15,2.806666667,492.6666667,3.2,900,1026.666667,1116.666667,1226.666667,1266.666667,1246.666667,1183.333333,896.6666667,11405,93.54,4.93,12.09,23.9,61.92,62.79
192,11.81,5.54,14.42,2.806666667,491.6666667,3.5,900,1000,1120,1170,1260,1200,1200,1180,11005,92.91,5.11,12.36,24.17,61.91,62.65
192,11.71,3.74,12,3.036666667,491,2.933333333,920,1020,1106.666667,1170,1270,1280,1100,1126.666667,12295,92.83,5.43,12.15,22.88,62.81,63.63
192,11.68,3.65,12,2.786666667,510,3.9,900,1000,1100,1200,1250,1280,1200,950,12070,93.62,4.69,12.13,22.77,62.48,63.31
192,11.51,6.07,13.98,2.966666667,492,3.2,930,1050,1150,1250,1300,1300,1250,1150,12680,92.99,5.07,11.85,23.37,62.1,63.3
192,11.5,6.05,13.92,2.8,479.8333333,3.4,920,1020,1120,1220,1280,1250,1200,1090,11740,93.98,4.31,12.06,23.05,62.34,63.36
192,11.06,3.96,12.42,3.03,498.5,3.1,930,1030,1130,1220,1280,1280,1230,1000,13115,93.24,4.93,12.23,23.36,62.15,63.26
192,11.04,3.95,14.11,3.12,497,3.2,900,1020,1113.333333,1220,1280,1280,1230,1000,12405,93.01,4.89,12.12,23.21,62.15,63.39
192,11.01,3.92,13,2.953333333,478,3.2,983.3333333,1026.666667,1116.666667,1226.666667,1266.666667,1246.666667,1183.333333,896.6666667,13530,92.85,4.94,12.25,23.47,62.25,63.24
192,8.98,2.52,15,3.2,518.5,5.7,920,1013.333333,1130,1250,1280,1300,1310,1100,13470,92.56,5.47,12.34,23.22,62.41,62.93
192,8.98,3.33,15,3.1,506,3.2,920,1020,1130,1220,1280,1300,1310,1000,13815,93.48,4.78,12.37,22.29,62.36,62.92
193,16.96,3.9,16,3.066666667,471.3333333,2.883333333,820,1000,1150,1150,1280,1280,1250,900,8195,93.77,4.31,12.07,23.67,62.12,63.16
193,15.38,3.78,13.83,3,480,3.733333333,920,1020,1120,1170,1260,1210,1210,1200,12160,93.6,4.73,12.35,23.8,62.62,63.3
193,15,4,12,3.033333333,476,3,850,1040,1150,1220,1240,1240,1216.666667,916.6666667,12000,93.92,4.31,11.27,23.31,62.71,63.55
193,15,3.93,14,3,486.8333333,2.783333333,820,1000,1150,1213.333333,1266.666667,1280,1250,833.3333333,12470,92.84,5.14,12.13,23.52,62.19,62.81
193,15,3.99,14,3.096666667,517,2.833333333,820,1000,1150,1200,1260,1280,1250,800,12040,92.5,5.48,12.09,23.39,62.15,62.85
193,14.99,4.53,14,2.2,486.5,3.3,920,1020,1160,1260,1300,1280,1280,1080,12805,93.42,5.05,11.69,23.91,61.99,62.68
193,14.99,3.91,13,3.096666667,485.8333333,2.866666667,820,1000,1150,1240,1280,1280,1250,900,11005,92.57,5.59,12.16,23.74,62.11,62.77
193,14.99,3.92,13,2.816666667,514.8333333,2.866666667,820,1000,1150,1200,1280,1280,1250,900,12005,92.84,5.41,12.21,23.94,62.2,62.66
193,14.25,6.28,12,3,510.3333333,3.3,900,1000,1120,1180,1270,1200,1200,1200,13050,93.37,4.85,12.45,23.41,63.04,63.82
193,14.25,6.02,15.71,2.773333333,440.1666667,3.1,910,1010,1120,1170,1260,1200,1200,1150,8140,93.39,4.62,12.4,24.13,61.98,63.14
193,14.23,6.32,13,2.943333333,496,2.7,900,1000,1120,1180,1260,1200,1200,1180,12020,93.58,4.63,12.03,24.1,62.98,63.71
193,14.21,6.07,11,3.15,500.6666667,3,900,1000,1120,1180,1270,1200,1200,1190,13020,93.41,5.07,12.5,23.92,62.75,63.6
193,14.21,6.2,13,2.846666667,522.3333333,2.933333333,900,1000,1120,1180,1260,1200,1200,1180,12100,93.7,4.85,12.13,23.7,62.59,63.31
193,14.16,6.18,11,2.716666667,510,2.7,900,1000,1120,1180,1270,1200,1200,1200,10030,93.62,4.89,12.43,23.92,62.8,63.61
193,13.97,3.99,13.03,2.92,500,2.666666667,950,1050,1150,1170,1300,1210,1210,1250,12525,92.68,5.29,12.5,23.81,62.13,63.05
193,13.91,5.92,14,2.676666667,496.6666667,3.416666667,910,1050,1200,1250,1300,1300,1280,1113.333333,11142,93.06,5.15,12.11,23.48,61.92,62.78
193,13.36,3.99,13.98,2.87,513,4,900,1000,1100,1220,1260,1280,1240,950,12280,93.04,5.36,11.84,22.89,63.18,63.87
193,13.03,5.95,12.55,3.1,507,3.2,900,1006,1106,1240,1240,1260,1206,950,13120,92.67,5.64,12.25,22.98,63.09,63.79
193,12.95,3.89,15,3.033333333,471,2.633333333,900,1000,1150,1200,1260,1260,1250,900,11040,92.95,5.37,12.32,23.1,62.16,62.94
193,12.93,3.94,16,3.026666667,474.8333333,3,820,1000,1150,1200,1260,1260,1250,900,11680,92.92,5.28,12.36,23.44,62.01,62.73
193,12.93,3.93,13,2.916666667,492.8333333,3.033333333,920,1020,1150,1230,1260,1260,1250,893.3333333,13220,93.39,4.76,12.16,23.73,62.1,63.31
193,12.61,6.07,13.47,3.15,502,3.3,930,1040,1150,1220,1300,1300,1180,1000,13005,93.5,4.82,12.21,23.62,62.31,63.4
193,12.45,4.06,17.83,3.04,465,3.4,920,1000,1100,1200,1280,1200,1200,1150,7630,93.32,4.95,12.21,23.43,62.21,63.4
193,12.42,6.29,12,3,515.6666667,3.766666667,910,1000,1100,1180,1263.333333,1200,1200,1100,12885,93.3,4.76,12.5,23.44,62.69,63.35
193,11.55,4.73,13,3.05,488,2.8,900,1020,1120,1220,1280,1300,1310,1016.666667,13330,93,5.08,12.18,22.11,62.4,63.38
193,11.32,5.91,12,3.1,485.6666667,3.333333333,900,1000,1100,1200,1260,1280,1200,980,12010,93.12,5.15,12.34,23.51,62.45,63.41
193,11.03,3.91,13.03,3.14,497,3.2,900,1020,1120,1220,1260,1260,1230,1000,13060,93.14,4.96,12.26,23.44,62.22,63.31
193,10.56,4.93,21,2.743333333,484,3.3,900,1010,1110,1200,1270,1280,1200,1110,1420,93.45,4.87,12.32,23.07,62.47,63.3
193,10.49,3.91,13.48,3.15,505,3,930,1030,1130,1220,1280,1280,1230,1000,13060,93.03,4.98,12.43,22.87,62.37,63.49
193,10.43,5.91,12.04,3.06,503,3,920,1020,1120,1240,1260,1280,1220,950,13035,93.61,5.09,12.14,22.96,62.99,63.74
193,10.12,3.82,12,2.733333333,485.5,3.333333333,900,1010,1110,1200,1270,1280,1200,1120,12055,93.23,4.9,12.29,23.12,62.55,63.4
194,15,3.97,14,2.633333333,478.3333333,3.733333333,850,950,1100,1200,1300,1280,1280,1033.333333,10070,93.36,4.96,12.53,23.83,61.88,62.74
194,15,3.94,13,2.923333333,490,2.966666667,820,1000,1150,1200,1226.666667,1280,1250,883.3333333,11935,93.4,4.92,12.05,23.31,62.17,62.99
194,14.99,3.9,13,3,472.5,2.966666667,820,1000,1150,1200,1280,1280,1250,900,11810,92.89,5.4,12.16,24.29,62.18,63.08
194,14.95,3.91,14,3.063333333,487.3333333,3,820,1000,1150,1200,1280,1280,1250,900,11770,93.32,4.16,12.19,23.96,62.25,63.03
194,14.72,6.19,12.56,3.1,506.3333333,3.4,900,1000,1100,1200,1220,1240,1200,950,13245,93.53,5.06,12.28,22.51,63.15,63.82
194,14.21,6.22,12,3.04,511.8333333,3.2,900,1000,1120,1180,1270,1200,1200,1200,13020,93.5,4.89,12.38,23.72,62.99,63.61
194,13.53,3.85,15.74,2.833333333,477,3.166666667,920,1020,1120,1230,1300,1200,1200,1110,11160,93.36,5.04,12.08,23.72,61.99,63.08
194,13.34,6.06,12.59,3.083333333,484,3.266666667,920,1020,1150,1220,1280,1280,1180,1100,12370,93.68,4.67,12.48,23.86,62.46,63.3
194,13.05,6.26,12,3,510.1666667,3.633333333,910,1000,1120,1180,1270,1200,1200,1133.333333,13100,93.38,4.95,12.58,23.19,62.82,63.53
194,13.03,3.14,13.95,2.8,481.5,3.7,920,1020,1120,1170,1250,1200,1210,1160,10825,93.65,4.64,12.42,23.92,62.32,63.05
194,13,3.94,13,2.803333333,457.3333333,3.133333333,900,1000,1150,1200,1280,1280,1250,933.3333333,11165,93.09,4.92,12.36,23.66,62.09,62.57
194,13,3.89,13,2.996666667,493.1666667,2.866666667,820,1000,1150,1240,1300,1300,1250,900,12080,93.16,5.41,12.28,24.05,62.12,62.7
194,13,3.93,15,2.81,479.5,3.333333333,846.6666667,1000,1150,1200,1260,1260,1250,893.3333333,11210,93.39,4.7,12.31,23.58,62.29,62.95
194,13,3.97,15,2.916666667,475.1666667,2.933333333,900,1000,1150,1200,1260,1260,1250,880,11080,93.69,4.74,12.04,23.83,62.25,63.26
194,12.99,3.92,17,2.806666667,475.3333333,2.533333333,900,1000,1150,1200,1286.666667,1286.67,1250,883.3333333,10470,93.22,4.85,12.3,23.9,62.15,63.06
194,12.98,3.81,16,3.013333333,477.5,2.6,900,1000,1150,1200,1266.666667,1266.7,1250,880,11555,93.21,5.33,12.22,23.88,62.16,63.1
194,12.95,3.9,14,3.116666667,484.6666667,2.9,820,1000,1150,1200,1273.333333,1273.333333,1250,920,12050,93.43,4.91,12.06,23.94,62.1,62.81
194,12.9,6.11,12,3,513.5,3.3,900,1000,1000,1120,1180,1270,1200,1200,13100,92.88,5.36,12.45,23.64,62.92,63.6
194,12.76,6.47,15,2.546666667,494.6666667,3.2,950,1050,1150,1250,1280,1150,1150,900,11285,93.65,4.58,11.78,23.87,61.93,62.77
194,12.74,2.89,14.92,2.923333333,475,3.7,920,1020,1120,1170,1260,1200,1210,1160,11065,93.71,4.78,12.57,22.93,61.9,62.77
194,12.43,6.03,12.69,3.1,502.5,3.1,920,1020,1120,1240,1260,1280,1220,950,13110,93.18,5.1,12.37,22.36,63.12,64.16
194,12.06,3.99,14,2.916666667,484.6666667,2.9,926.6666667,1040,1123.333333,1240,1273.333333,1273.333333,1250,920,12020,93.39,5.17,12.32,23.66,62.09,63.04
194,12,3.98,15,3.12,488.8333333,3.166666667,900,1030,1130,1230,1280,1280,1250,906.6666667,12060,92.76,5.27,12.34,23.59,62.05,62.91
194,11.59,3.92,11,2.885,503,3.4,900,1000,1100,1200,1250,1280,1200,950,12255,93.62,4.65,12.31,22.96,62.64,63.52
194,11.37,4.04,16,2.903333333,497.5,3.466666667,913.3333333,1020,1126.666667,1200,1263.333333,1280,1200,1096.666667,10640,92.64,5.38,12.14,23.1,62.52,63.2
194,11.2,5.77,13,2.743333333,495,3.266666667,900,1000,1100,1200,1260,1280,1200,1000,11965,93.27,5.32,12.38,23.25,62.32,63.14
194,11.08,3.89,13.5,3.15,505.5,3.2,930,1050,1150,1240,1280,1280,1250,900,13355,93.08,4.89,12.07,23.96,62.31,63.28
194,10.63,3.68,11,2.81,516,3.666666667,900,1000,1100,1200,1250,1280,1200,950,12225,93.44,5,12.25,22.9,62.59,63.45
194,9.02,2.74,16,3.183333333,510,5.6,920,1020,1130,1250,1280,1300,1310,1100,13525,92.2,5.75,11.99,22.3,62.57,62.86
195,17,3.83,14,3.116666667,493.5,3.3,820,1000,1150,1250,1280,1280,1250,900,12015,92.98,5.16,12.13,23.51,62.26,63.35
195,15,5.19,20,2.713333333,523,2.3,980,1000,1100,1200,1220,1240,1260,983.3333333,11465,92.77,5.38,11.85,23.99,61.99,62.79
195,15,3.98,13,2.77,479.3333333,3.316666667,850,950,1100,1200,1280,1280,1280,900,11045,92.92,5.29,12.14,23.89,61.88,62.65
195,14.98,3.99,11,2.95,500.8333333,2.633333333,850,1000,1150,1240,1256.666667,1256.666667,1256.67,983.3333333,12020,92.85,5.17,11.85,23.63,61.8,62.63
195,14.94,3.93,13,2.64,487.1666667,3.533333333,850,950,1100,1200,1300,1280,1280,1013.333333,10175,93.37,4.88,12.45,23.94,61.82,62.64
195,14.94,3.98,10,3.023333333,495,3.133333333,1020,1050,1150,1240,1253.333333,1260,1260,933.3333333,12050,92.94,5.19,11.84,23.71,61.68,62.48
195,14.17,6.13,11,3,507.6666667,3.3,900,1000,1120,1180,1270,1200,1200,1200,13060,93.39,5.01,12.36,24.16,62.75,63.53
195,13.79,5.8,13.02,2.9,466.8333333,3.55,910,1010,1120,1170,1260,1200,1200,1170,10515,93.38,5.16,12.4,23.35,62.44,63.07
195,13.46,5.88,21.03,3,464.5,3.3,900,1000,1100,1170,1250,1200,1200,1130,4085,92.46,5.16,12.58,23.7,61.57,62.51
195,13.45,3.74,15.08,2.916666667,478.3333333,3.7,920,1020,1120,1170,1260,1200,1210,1160,11230,93.4,4.79,12.73,22.93,62.01,62.72
195,13.43,3.72,13.85,2.94,495,3.933333333,920,1020,1120,1170,1260,1220,1210,1150,11840,93.52,4.7,12.47,23.59,62.17,63.01
195,13.37,6.3,12,3,505.6666667,3.8,910,1000,1120,1180,1270,1200,1200,1100,13010,93.53,4.88,12.43,23.54,62.74,63.41
195,13.36,5.98,11.99,3.003333333,490,3.4,920,1020,1150,1220,1280,1280,1180,1100,12205,93.65,4.77,12.37,24.24,62.5,63.39
195,13,3.9,15,3.1,482.1666667,3.233333333,820,1100,1150,1220,1300,1290,1250,976.6666667,11540,92.52,5.5,12.09,23.32,62.07,63.22
195,13,6.48,16,2.846666667,476.5,3.4,950,1050,1150,1250,1280,1150,1116.666667,900,10650,93.78,4.43,11.91,23.71,61.9,62.66
195,12.99,3.95,15,3.05,490,3.4,880,1000,1150,1213.333333,1280,1273.333333,1250,900,12160,92.75,5.53,12.07,23.72,62.04,62.85
195,12.99,3.82,14,3.01,466.1666667,3.233333333,900,1000,1150,1200,1280,1280,1250,850,11005,93.55,4.68,12.28,23.56,62.03,62.43
195,12.98,3.91,15,3.04,475.8333333,3.5,880,1000,1150,1200,1260,1260,1250,900,12015,92.64,5.6,12.03,23.83,62.04,62.83
195,12.96,3.89,14,2.823333333,454,3.233333333,900,1000,1150,1200,1280,1280,1250,900,11575,93.44,4.75,12.28,23.75,62.15,62.59
195,12.94,3.88,16,3.133333333,475.3333333,3.133333333,820,1000,1150,1216.666667,1260,1260,1250,900,11590,93.12,5.19,12.34,23.49,61.99,62.87
195,12.89,6.18,13,3,506,3.3,900,1000,1120,1180,1270,1200,1200,1200,13110,93.38,5.02,12.56,22.92,62.92,63.65
195,12.87,3.58,14.23,2.995,497.5,3.3,930,1030,1140,1170,1290,1210,1210,1180,11730,93.82,4.56,12.29,23.04,62.05,63.16
195,12.74,4,12,2.88,514.5,3.933333333,913.3333333,1016.666667,1120,1200,1260,1280,1200,1183.333333,12010,92.2,5.5,12.15,23.13,62.44,63.2
195,12.15,6.07,12.95,3.15,500,3.2,930,1040,1150,1250,1280,1270,1250,1100,13005,93.58,4.97,12.62,22.87,62.3,63.23
195,12.08,3.71,12.39,3.15,478,3.4,930,1050,1150,1250,1300,1300,1250,1100,11590,92.84,5.34,11.93,23.18,62.17,63.28
195,11.82,6,13.45,3.15,471,2.9,930,1050,1150,1250,1300,1300,1250,1200,11505,93.2,4.75,12.1,23.15,62.31,63.35
195,11.69,6.06,12,2.806666667,493.3333333,3.3,900,1000,1100,1200,1260,1280,1200,980,11720,93.28,4.83,12.47,22.98,62.64,63.37
195,11.66,4.79,12,2.826666667,500,3.533333333,910,1010,1110,1200,1260,1280,1200,1100,11490,92.66,5.36,12.36,23.37,62.29,63.11
195,11.58,3.83,11,2.773333333,509,3.8,900,1000,1100,1200,1250,1280,1200,950,12005,94.08,4.36,12.23,22.81,62.48,63.15
195,11.47,3.93,12,2.913333333,485,3.466666667,900,1000,1100,1200,1250,1280,1200,950,12210,93.5,4.88,12.24,22.97,62.73,63.65
195,11.41,5.9,12,2.806666667,493.3333333,4.3,910,1010,1110,1200,1249,1280,1200,1100,12535,92.78,5.23,12.36,23.48,62.44,63.26
195,11.27,5.98,12,2.88,514.5,3.933333333,900,1010,1110,1200,1255,1280,1200,1200,11715,93.39,4.99,12.16,23.03,62.87,63.55
195,11,4.61,12,2.826666667,501,3.533333333,913.3333333,1016.666667,1120,1200,1252,1280,1200,1183.333333,5635,92.69,5.33,12.42,22.96,62.62,63.31
195,10.92,6.04,12.96,3.15,505,3,950,1050,1150,1240,1300,1300,1250,1000,13090,93.2,5.16,12.24,23.41,62.3,63.34
195,10.57,3.58,11,2.84,515,3.3,900,1010,1110,1200,1270,1280,1200,1200,12010,93.67,5.1,12.17,22.62,62.91,63.71
196,16.98,3.89,14,3.066666667,500.1666667,3.066666667,820,1000,1150,1230,1240,1260,1250,900,12075,92.98,5.39,12.2,23.37,62.24,63.22
196,15.02,3.99,12,2.793333333,487.3333333,2.933333333,850,1040,1150,1210,1230,1230,1220,955,11520,94.19,4.06,11.22,23.34,62.56,63.47
196,14.99,3.98,13,3.053333333,491.3333333,2.933333333,820,1000,1150,1200,1280,1280,1250,900,12075,93.32,4.85,12.05,23.93,62.2,63.2
196,14.98,3.98,12,2.913333333,460,2.8,850,1040,1140,1200,1220,1223.333333,1190,933.3333333,11545,93.48,4.69,11.31,23.21,62.29,63.26
196,14.37,5,12.71,3.073333333,501,3.3,900,1000,1106,1150,1266,1280,1150,1100,13010,93.47,4.89,11.92,23.15,62.73,63.42
196,14.09,5.43,11.56,2.9,507,3.4,900,1000,1100,1150,1260,1280,1150,1183,12705,93.66,4.78,11.86,22.7,62.69,63.53
196,14.06,3.76,14.77,2.936666667,475,3.333333333,920,1020,1120,1170,1260,1210,1210,1200,11170,93.54,4.63,12.34,23.95,62.59,63.42
196,13.43,3.79,14.2,2.94,494.5,4,920,1020,1120,1170,1260,1220,1210,1200,12135,93.38,4.83,12.49,23.64,62.49,63.1
196,13.26,3.89,17,2.883333333,475,3.3,820,1100,1150,1220,1300,1290,1250,900,11310,92.44,5.42,12.24,23.71,62.19,62.58
196,13.17,5.98,11.08,3,517.8333333,3.6,900,1000,1100,1150,1260,1280,1150,1000,11545,93.77,4.78,12.37,23.1,62.78,63.63
196,13.06,5.8,13.37,2.87,453.8333333,3.3,900,1000,1120,1170,1260,1260,1200,1160,11025,93.68,4.75,12.24,24.33,61.62,62.5
196,13.01,3.89,16,2.983333333,499.8333333,2.766666667,820,1000,1150,1250,1280,1280,1250,900,10530,93.23,4.78,12.29,23.41,61.96,63.13
196,13,3.93,13,2.813333333,505,3.2,920,1020,1150,1230,1260,1260,1250,900,11460,93.35,4.58,12.29,23.53,62.16,63.29
196,12.95,3.89,14,2.96,452,3.2,900,1000,1150,1200,1280,1280,1250,900,11045,93.51,4.8,12.38,23.71,62.09,62.49
196,12.94,3.91,15,2.863333333,505,3.2,900,1000,1150,1200,1280,1280,1250,880,10745,92.61,5.52,12.42,24.1,61.97,62.76
196,12.81,3.92,12.44,3.15,490,3.2,950,1050,1150,1250,1300,1300,1250,1100,12490,93.01,5.12,12.12,23.35,62.41,63.35
196,12.74,4.09,15,2.733333333,487,3.5,926,1026,1130,1155,1264,1190,1213,1302,12480,93.54,4.62,12.01,23.42,62.18,63.25
196,12.03,6.05,14.24,3.15,492,3.4,910,1020,1150,1220,1300,1300,1180,1000,13050,93.71,4.65,12.45,23.13,62.29,63.3
196,11.65,5.07,13,2.9,491.3333333,3.1,900,1000,1100,1200,1260,1280,1200,980,12020,93.38,4.96,12.36,22.8,62.52,63.44
196,11.55,5.28,13,2.94,504,3.2,900,1000,1100,1200,1260,1280,1200,980,12120,93.68,4.81,12.35,23.62,62.5,63.42
196,11.29,3.49,11,2.733333333,487,3.5,900,1000,1100,1200,1250,1280,1200,980,12315,93.48,4.59,12.22,22.84,62.52,63.59
196,11,3.92,12.54,3.15,500,3.4,930,1050,1150,1240,1280,1280,1250,900,13275,92.97,4.95,12.25,23.62,62.27,63.34
196,10.08,4.43,12.39,2.993333333,492.6666667,2.95,900,1000,1100,1200,1243,1260,1240,950,13090,92.94,5.79,11.66,23.01,63.09,63.85
196,10.07,4.64,13.64,3,498,2.966666667,920,1050,1150,1220,1250,1260,1240,950,12510,94.05,4.65,12.26,23.06,62.78,63.55
196,9.98,4.25,13.58,3,510,3.9,900,1000,1100,1220,1260,1260,1280,950,12720,93.92,4.41,11.95,23.56,61.84,62.62
196,9.95,4.48,12,2.9,487.3333333,3.8,850,1050,1150,1226.666667,1246.666667,1256.666667,1256.666667,1026.666667,12060,93.56,4.63,11.65,22.9,61.68,62.58
196,9,2.51,15,3.2,516,5.6,900,1000,1130,1250,1300,1300,1310,1100,13560,91.7,6.55,11.79,23.12,62.64,63.23
196,9,3.27,15,3.2,503.3333333,3.266666667,900,1020,1120,1250,1280,1300,1310,1000,13450,93.41,5.32,12.14,22.66,62.43,62.81
196,9,3.99,15,3.2,508.5,3.5,900,1000,1130,1250,1300,1300,1310,1000,13550,92.1,5.85,12.62,22.25,62.66,63.19
197,15.14,4.01,12,3.233333333,471.6666667,3.066666667,850,1050,1150,1223.333333,1240,1246.666667,1246.67,976.6666667,11955.55,93.28,4.89,11.25,23.39,61.7,62.37
197,15.01,4.03,13,3.2,474.1666667,3.016666667,850,1050,1150,1220,1240,1250,1240,933.3333333,11660,93.48,4.86,11.33,23.14,61.87,62.77
197,14.93,3.95,13,2.513333333,489.3333333,3.066666667,850,1033.333333,1133.333333,1213.333333,1246.666667,1260,1260,1050,10115,93.03,5.12,11.83,22.81,61.86,62.77
197,14.48,3.89,17,3.053333333,461.5,2.766666667,820,1100,1150,1220,1283.333333,1280,1250,900,11050,92.53,5.29,12.25,23.45,62.13,62.39
197,13.76,3.87,11,2.513333333,489.3333333,3.066666667,916.6666667,1033.333333,1133.333333,1213.333333,1246.666667,1258,1263.333333,1050,12135,93.66,4.74,12.11,22.79,62.71,63.53
197,13.52,3.99,14.66,3,465,4,900,1000,1100,1200,1240,1260,1240,950,12280,93.26,5.26,11.82,22.84,63.04,63.67
197,13.43,3.77,11,2.83,514.8333333,3.4,900,1000,1100,1200,1250,1280,1200,956.6666667,12215,93.6,4.91,12.28,23.09,62.82,63.6
197,13.34,5.99,11.09,3,492,3.5,900,1000,1100,1150,1240,1266,1150,1000,12515,93.56,4.9,12.14,23.49,62.77,63.6
197,13.1,4,14.48,3.05,500,2.7,950,1080,980,1170,1340,1220,1210,1340,12515,93.67,4.69,12.27,23.48,61.96,63.03
197,13.1,6.12,12.12,2.8,510,3.6,900,1000,1100,1150,1246,1266,1130,950,12745,93.36,4.91,12.05,22.69,62.74,63.64
197,12.98,3.91,13,3.15,498,3.2,950,1070,1170,1250,1300,1300,1250,966.6666667,12015,93.07,4.94,12.28,23.87,62.18,63.27
197,12.76,2.79,14.82,2.983333333,476,3.7,920,1020,1120,1170,1260,1200,1210,1160,11130,94.02,4.47,12.21,23.84,61.86,62.72
197,12.62,3.67,13.87,3,520,3.7,900,1000,1100,1220,1260,1280,1240,950,13070,94.22,4.41,12.04,22.88,63.06,63.74
197,12.32,3.84,14.53,3.016666667,476,2.7,920,1020,1120,1230,1300,1200,1200,1100,11445,93.5,4.92,11.94,23.24,61.97,63.15
197,11.48,3.94,14.21,3,500,2,950,1150,1050,1170,1300,1210,1210,1250,12195,93.03,5.31,12.27,23.84,62.31,63.22
197,11.36,4.01,13.73,3.04,485,3.4,920,1020,1120,1220,1280,1280,1200,1100,11975,93.98,4.56,12.23,22.9,62.32,63.37
197,11.14,4.53,15.69,2.7,489.3333333,3.8,920,1020,1120,1240,1280,1300,1280,950,11485,93.33,4.77,11.48,21.77,62.33,63.23
197,11,3.89,12.92,3.15,500,3.2,930,1050,1150,1240,1280,1280,1250,900,13095,93.15,5.04,12.41,23.28,62.33,63.28
197,10.02,4.68,16.69,3,492,3.5,883.3333333,1000,1100,1150,1240,1256,1306.666667,1000,10480,93.82,4.58,11.81,23.58,61.79,62.58
197,9.68,4.15,13.05,3.03,498.5,2.97,900,1000,1100,1200,1240,1260,1240,950,13010,93.69,4.83,12.32,22.18,63.03,64.14
198,14.99,4,12,3.3,466,2.8,850,1050,1150,1230,1240,1240,1240,960,12005,93.59,4.64,11.34,23.28,61.78,62.57
198,14.93,5.99,13.35,3.2,457.5,3.75,910,1010,1130,1170,1260,1200,1200,1180,11520,93.46,4.75,12.35,23.78,62.74,63.53
