date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
01-Feb,192,13.59,5.9,0,20,2.703333333,499.1666667,3.366666667,916.6666667,916.6666667,1030,1186.666667,1256.666667,1300,1286.666667,1100,84.51,3900,93.16,5.03,11.88,23.63,61.83,62.6
8/21/2023,198,12.45,3.93,225,20.1,2.68,480,3.4,900,1000,1110,1200,1280,1200,1200,1100,0,4580,93.47,4.45,12.11,23.56,62.33,63.25
8/18/2023,202,12.32,4.03,475,15.88,2.74,460,3.1,900,1000,1110,1200,1280,1200,1200,1100,83.36,9170,93.68,4.43,12.26,23.53,62.29,63.17
8/19/2023,201,12.38,3.98,450,15.52,2.52,459,3.1,900,1000,1110,1200,1280,1200,1200,1100,82.78,9290,93.65,4.58,12.41,23.48,62.24,63.21
8/20/2023,198,12.83,4.03,475,15.38,2.87,460,3.4,900,1000,1100,1200,1260,1200,1200,1100,83.18,9430,93.53,4.99,12.27,23.67,62.4,63.27
08-06-2023,202,14.19,4,500,14.62,2.673333333,458,2.75,920,1020,1120,1220,1300,1200,1200,1100,82.17,10010,93.2,4.92,12.28,23.76,62.14,63.39
8/14/2023,200,11.37,3.99,500,17.45,3.023333333,430,3.033333333,900,1000,1100,1200,1280,1200,1200,1100,82.98,10030,93.59,4.51,12.17,23.78,62.66,63.54
06-Feb,187,15,4.47,350,14,2.856666667,498.6666667,3.666666667,900,1080,1160,1260,1300,1280,1280,1100,84.48,10280,93.13,5.18,11.79,24.2,61.88,62.71
9/16/2023,191,11.1,6.03,0,14.25,3.2,485,2.9,930,1040,1150,1250,1300,1300,1250,1100,85.02,10450,93.31,5.13,12.21,23.11,62.33,63.37
8/16/2023,201,11.62,5.9,0,14.73,2.506666667,472.5,3.1,900,1000,1110,1200,1280,1200,1200,1100,83.28,10840,93.62,4.44,11.93,23.02,62.31,63.34
8/26/2023,191,11.11,4.01,550,14.43,2.9,494,3,920,1020,1130,1220,1270,1250,1200,1100,85.93,10980,93.52,4.72,12.18,24.07,62.48,63.39
08-03-2023,200,14.05,3.96,575,13.37,2.92,480,3.2,920,1020,1120,1200,1300,1200,1200,1100,64.04,11100,93.48,4.59,12.17,23.86,62.17,63.17
08-10-2023,197,12.32,3.84,575,14.53,3.016666667,476,2.7,920,1020,1120,1230,1300,1200,1200,1100,79.51,11445,93.5,4.92,11.94,23.24,61.97,63.15
8/25/2023,190,11.69,6.02,359.7857143,13.76,2.9,490,3.3,920,1020,1120,1220,1280,1250,1200,1100,82.02,11460,93.69,4.61,12.38,23.58,62.32,63.3
24-Mar,195,11.66,4.79,,12,2.826666667,500,3.533333333,910,1010,1110,1200,1260,1280,1200,1100,,11490,92.66,5.36,12.36,23.37,62.29,63.11
9/20/2023,195,12.08,3.71,400,12.39,3.15,478,3.4,930,1050,1150,1250,1300,1300,1250,1100,80.58,11590,92.84,5.34,11.93,23.18,62.17,63.28
08-02-2023,199,15.01,4.05,600,13.87,3.003333333,487,3.2,920,1020,1120,1200,1300,1200,1200,1100,64.74,11860,93.65,4.76,12.23,23.68,62.32,63.3
8/29/2023,192,13.23,5.98,665,12.53,3,485,3.4,900,1000,1100,1220,1300,1280,1180,1100,80.39,11865,93.63,4.49,12.07,24.02,62.31,63.36
8/23/2023,197,11.36,4.01,600,13.73,3.04,485,3.4,920,1020,1120,1220,1280,1280,1200,1100,83.46,11975,93.98,4.56,12.23,22.9,62.32,63.37
20-Mar,199,10.58,4,,11,2.75,518.3333333,3.3,900,1010,1110,1200,1270,1280,1200,1100,,12005,93.37,4.79,12.26,22.59,62.55,63.37
19-Mar,198,10.32,4,,12,2.806666667,514,3.3,900,1010,1110,1270,1280,1200,1113.333333,1100,,12010,93.32,5.03,12.23,23.16,62.73,63.54
27-Mar,218,14.97,4.97,400,13,2.876666667,508,2.5,980,1000,1100,1200,1220,1243.333333,1260,1100,,12025,93.75,4.49,11.74,23.16,62.2,62.97
01-Apr,204,13,4.99,400,12,3.1,486.8333333,3.566666667,980,1000,1100,1200,1220,1250,1270,1100,,12025,93,5.18,11.9,22.93,61.79,62.6
28-Mar,213,15.02,4.99,400,12,2.99,495,2.766666667,980,1000,1100,1200,1220,1250,1266.666667,1100,,12115,93.96,4.46,11.9,22.93,61.96,62.88
8/31/2023,199,13.82,6,0,12.21,2.98,483,3.4,920,1020,1150,1220,1280,1280,1180,1100,81.87,12160,93.85,4.41,12.39,23.45,62.45,63.34
8/30/2023,195,13.36,5.98,0,11.99,3.003333333,490,3.4,920,1020,1150,1220,1280,1280,1180,1100,80.81,12205,93.65,4.77,12.37,24.24,62.5,63.39
09-01-2023,194,13.34,6.06,0,12.59,3.083333333,484,3.266666667,920,1020,1150,1220,1280,1280,1180,1100,82.45,12370,93.68,4.67,12.48,23.86,62.46,63.3
9/21/2023,196,12.81,3.92,425,12.44,3.15,490,3.2,950,1050,1150,1250,1300,1300,1250,1100,80.63,12490,93.01,5.12,12.12,23.35,62.41,63.35
02-Apr,212,12.94,4,350,11,3.053333333,484.5,3.366666667,980,1000,1100,1220,1220,1250,1270,1100,,12515,93.26,4.94,11.92,23.36,62.4,63.23
07-Apr,195,11.41,5.9,,12,2.806666667,493.3333333,4.3,910,1010,1110,1200,1249,1280,1200,1100,,12535,92.78,5.23,12.36,23.48,62.44,63.26
08-09-2023,200,12.27,3.98,650,13.33,2.986666667,505,2.7,920,1020,1120,1230,1300,1200,1200,1100,80.03,12555,93.67,4.66,12.24,23.79,62.29,63.42
09-02-2023,192,12.55,3.87,780,13.2,3.15,495,3.2,920,1040,1170,1233.333333,1293.333333,1273.333333,1180,1100,81.52,12665,93.96,4.61,12.39,22.95,62.32,63.19
09-07-2023,190,11.29,6.03,267.8928571,13.68,3.1,500,3.2,910,1020,1130,1220,1300,1280,1180,1100,83.15,12760,93.7,4.39,12.23,23.17,62.33,63.34
9/17/2023,191,11.59,6.03,0,11.7,2.95,499,3.2,930,1040,1150,1250,1300,1300,1250,1100,84.26,12770,93.43,4.77,12.08,23.78,62.24,63.24
09-05-2023,187,12.27,6.02,0,12.9,3.15,497,3.2,910,1030,1130,1230,1280,1260,1180,1100,85.48,12795,93.49,4.79,12.27,23.54,62.35,63.42
10-Apr,193,12.42,6.29,,12,3,515.6666667,3.766666667,910,1000,1100,1180,1263.333333,1200,1200,1100,69.78,12885,93.3,4.76,12.5,23.44,62.69,63.35
9/13/2023,195,12.15,6.07,0,12.95,3.15,500,3.2,930,1040,1150,1250,1280,1270,1250,1100,82.7,13005,93.58,4.97,12.62,22.87,62.3,63.23
12/31/2022,196,14.37,5,325,12.71,3.073333333,501,3.3,900,1000,1106,1150,1266,1280,1150,1100,,13010,93.47,4.89,11.92,23.15,62.73,63.42
11-Apr,195,13.37,6.3,,12,3,505.6666667,3.8,910,1000,1120,1180,1270,1200,1200,1100,69.69,13010,93.53,4.88,12.43,23.54,62.74,63.41
9/14/2023,190,12.07,6.07,258.1535714,13.98,3.15,500,3.2,930,1040,1150,1250,1300,1300,1250,1100,83.26,13010,93.37,4.78,12.27,23.99,62.35,63.38
9/15/2023,188,12.75,6.07,385.3333333,13.38,3.15,488,3.3,930,1040,1150,1250,1300,1300,1250,1100,84.73,13015,93.46,4.83,12.29,24.29,62.17,63.22
12-May,190,8.97,3.99,500,16,3.183333333,504.3333333,5.066666667,920,1020,1130,1260,1300,1310,1150,1100,84.095,13270,91.32,6.72,12.47,22.73,62.54,62.97
02-May,198,8.98,2.02,600,16,3.05,513,4.466666667,900,1000,1150,1250,1300,1300,1306.666667,1100,,13360,92,6.76,12.11,22.87,62.19,62.61
11-May,192,8.98,2.52,500,15,3.2,518.5,5.7,920,1013.333333,1130,1250,1280,1300,1310,1100,85.58,13470,92.56,5.47,12.34,23.22,62.41,62.93
09-May,194,9.02,2.74,500,16,3.183333333,510,5.6,920,1020,1130,1250,1280,1300,1310,1100,,13525,92.2,5.75,11.99,22.3,62.57,62.86
08-May,196,9,2.51,250,15,3.2,516,5.6,900,1000,1130,1250,1300,1300,1310,1100,,13560,91.7,6.55,11.79,23.12,62.64,63.23
22-Mar,194,11.37,4.04,600,16,2.903333333,497.5,3.466666667,913.3333333,1020,1126.666667,1200,1263.333333,1280,1200,1096.666667,,10640,92.64,5.38,12.14,23.1,62.52,63.2
26-Mar,191,11.58,6,,13,3.2,497.5,3.466666667,839.1666667,1020,1126.666667,1200,1260,1280,1200,1096.666667,85.336,12005,93.22,4.81,12.35,23.28,62.41,63.13
08-07-2023,202,13.97,3.96,500,14.84,3.1,484,2.816666667,920,1020,1120,1220,1290,1200,1200,1093.333333,75.73,10095,93.51,4.58,12.3,23.47,62.23,63.48
05-Feb,179,14.98,4.48,200,14,3.043333333,513.3333333,3.566666667,900,1040,1160,1260,1300,1280,1280,1093.333333,84.24,12285,92.18,5.86,12,24.41,62,62.79
04-Apr,249,12.96,4.04,350,13,2.366666667,475,3.2,850,986.6666667,1093.333333,1200,1240,1256.666667,1256.7,1090,71.12,9415,94.28,3.98,11.9,19.98,63.01,63.87
08-08-2023,199,13.65,3.96,575,13.65,2.98,462.5,2.816666667,920,1020,1120,1220,1290,1200,1200,1090,79.23,11355,93.65,4.44,11.74,23.28,62.1,63.32
8/24/2023,192,11.5,6.05,575,13.92,2.8,479.8333333,3.4,920,1020,1120,1220,1280,1250,1200,1090,80.8,11740,93.98,4.31,12.06,23.05,62.34,63.36
13-Apr,228,11.97,4.03,350,16,2.433333333,443.8333333,3.1,850,1000,1100,1213.333333,1246.666667,1266.666667,1263.333333,1086.666667,,8440,93.81,4.25,11.74,22.93,62.41,62.95
03-Apr,246,11.92,4.19,350,14,2.426666667,455.8333333,3.333333333,973,993.3333333,1090,1213.333333,1230,1251.666667,1261.666667,1083.333333,72.21,9060,94.73,3.65,12.1,21.75,63.06,63.67
02-Feb,186,13.55,5.72,0,27,2.65,480,3.266666667,920,1020,1160,1260,1300,1280,1280,1080,85.656,3320,93.3,5.03,11.48,24.23,61.85,62.91
08-05-2023,198,14.05,3.96,575,13.46,2.673333333,483.5,2.766666667,920,1020,1120,1200,1300,1200,1200,1080,83.09,11105,93.5,5.1,12.28,23.77,61.98,63.2
08-04-2023,199,14.58,4,575,13.15,3.02,475,2.9,920,1020,1120,1200,1300,1200,1200,1080,78.88,11250,93.66,4.92,12.22,23.77,62.04,63.24
09-06-2023,184,12.39,6.04,359,14.27,2.98,498,3.3,910,1020,1120,1280,1260,1180,1080,1080,86.03,12755,93.48,4.8,12.09,23.84,62.35,63.31
03-Feb,193,14.99,4.53,250,14,2.2,486.5,3.3,920,1020,1160,1260,1300,1280,1280,1080,84.77,12805,93.42,5.05,11.69,23.91,61.99,62.68
10-Feb,186,15,4,350,14,2.833333333,491,3.5,900,1043.333333,1156.666667,1233.333333,1280,1280,1280,1073.333333,84.75,12010,93.08,4.87,11.77,24.06,61.63,62.15
03-May,205,9.03,2.03,500,16,3.166666667,513.3333333,3.8,900,1000,1130,1250,1300,1300,1310,1073.333333,,13290,92.27,6.02,12.31,22.7,62.61,63.26
8/27/2023,191,11.21,3.96,600,14.12,2.95,500,2.9,900,1013.333333,1106.666667,1220,1270,1250,1200,1070,85.13,11860,93.16,4.84,12.04,24.04,62.45,63.41
11-Feb,190,15,4.02,350,14,3,497.1666667,3.366666667,900,1050,1160,1240,1300,1280,1280,1070,83.54,12200,92.95,5.21,11.83,24.17,61.99,62.65
07-Feb,189,14.93,4.34,400,14,2.803333333,500,3.2,900,1080,1163.333333,1246.666667,1293.333333,1280,1280,1066.666667,84.08,11050,93.17,5.28,11.78,23.75,61.83,62.71
13-Jan,190,13,6.48,604.3466071,15,2.943333333,493.1666667,3,900,1050,1150,1220,1280,1280,1250,1066.666667,86.02,12035,93.05,5.15,11.97,23.58,61.92,62.78
25-Jan,182,12.85,3.98,350,16,2.843333333,494.6666667,3.5,900,1050,1150,1250,1300,1300,1280,1066.666667,84.02,12065,92.81,5.26,11.66,24.24,61.69,62.54
29-Mar,218,14.92,4.95,200,12,2.883333333,490,2.763333333,980,1000,1100,1200,1220,1250,1270,1066.666667,,12195,93.73,4.79,12.1,22.61,61.98,62.93
24-Jan,185,12.94,3.94,350,15,3.043333333,472.5,3.466666667,900,1050,1150,1250,1300,1300,1280,1056.666667,83.35,12675,93.05,5.12,11.78,24.1,61.71,62.52
10-May,206,8.97,2.46,250,18,3.2,468,5.6,900,1020,1130,1260,1300,1310,1310,1050,,8140,92.76,5.29,12.18,22.71,62.14,62.55
06-Apr,197,14.93,3.95,400,13,2.513333333,489.3333333,3.066666667,850,1033.333333,1133.333333,1213.333333,1246.666667,1260,1260,1050,67.01,10115,93.03,5.12,11.83,22.81,61.86,62.77
22-Jan,187,13,3.98,400,16,2.83,502.3333333,3.5,900,1050,1150,1250,1300,1300,1280,1050,83.71,11315,93.11,5.22,11.87,23.92,61.72,62.49
05-Apr,202,14.98,3.97,300,10,2.946666667,500,3.266666667,850,1000,1100,1200,1240,1260,1260,1050,67.44,12080,92.86,5.35,11.84,21.83,61.96,63.07
04-Mar,197,13.76,3.87,,11,2.513333333,489.3333333,3.066666667,916.6666667,1033.333333,1133.333333,1213.333333,1246.666667,1258,1263.333333,1050,,12135,93.66,4.74,12.11,22.79,62.71,63.53
23-Jan,184,13,3.95,350,15,2.953333333,511.6666667,3.5,900,1050,1150,1250,1300,1300,1280,1050,82.73,12165,93.11,5.22,11.72,24.07,61.79,62.56
08-01-2023,199,14.87,4.03,525,13.67,3.05,503.3333333,3.166666667,920,1020,1120,1200,1300,1200,1200,1050,65.61,12910,93.55,4.62,12.43,23.46,62.34,63.23
31-Mar,212,12.96,4.94,400,10,2.9,508,3.466666667,980,1000,1100,1200,1220,1250,1270,1050,,13045,92.91,5.29,11.92,22.95,61.84,62.63
30-Mar,210,12.99,4.59,350,13,3.133333333,500.6666667,3.333333333,980,1000,1100,1200,1220,1250,1270,1050,,13165,93.36,4.89,11.94,23.04,62.01,62.93
24-May,207,10.77,3.27,400,14,3,498,3.4,900,1020,1120,1220,1280,1310,1310,1050,,13460,93.14,5.39,12.58,22.46,62.7,63.72
05-May,208,8.98,2,500,17,3.2,507,3.6,900,1000,1100,1250,1286.666667,1300,1300,1050,,13470,91.92,5.79,12.23,22.35,62.39,62.9
25-Jun,212,11.65,5.01,,10.42,3.15,514,3.4,886,973.3333333,1073.333333,1180,1233,1266.666667,1283.333333,1050,,13560,94.12,4.42,12.49,23.38,62.42,63.12
07-May,205,8.99,2.02,600,16,3.2,517.5,4.4,900,1000,1110,1250,1280,1300,1300,1046.666667,,13355,91.64,6.15,12.18,23.18,62.77,63.35
7/28/2023,204,15.71,4,500,14.52,3.46,474.8333333,3.41,900,1000,1066,1240,1236,1258,1327,1041.666667,65.65,10250,93.67,4.68,12.46,23.47,62.07,63.08
02-Mar,198,11.85,3.63,600,12,2.873333333,518.3333333,2.9,920,1020,1113.333333,1100,1270,1280,1050,1040,,12400,92.77,4.76,12.21,22.73,62.79,63.55
11-Mar,194,15,3.97,300,14,2.633333333,478.3333333,3.733333333,850,950,1100,1200,1300,1280,1280,1033.333333,85.87,10070,93.36,4.96,12.53,23.83,61.88,62.74
14-Jan,190,12.98,6.44,562.5,16,3.086666667,504.3333333,2.933333333,900,1050,1150,1220,1280,1280,1250,1033.333333,86.29,11020,93.21,4.83,11.91,23.63,61.93,62.87
09-Feb,182,14.92,3.9,400,14,3.046666667,495,3.133333333,900,1030,1150,1220,1280,1280,1280,1033.333333,84.27,12065,92.79,5.25,11.74,24.02,61.68,62.22
23-May,209,11.56,3.08,300,14,3.136666667,488,3.2,900,1020,1120,1220,1280,1310,1310,1033.333333,,12980,92.75,5.49,12.69,22.1,62.49,63.78
24-Jun,212,12.81,5.26,,11.15,3.2,512,3.4,886.6666667,973.3333333,1073.333333,1180,1233.333333,1286,1283,1033,,13500,94.1,4.36,12.58,23.56,62.31,63.14
16-Apr,196,9.95,4.48,450,12,2.9,487.3333333,3.8,850,1050,1150,1226.666667,1246.666667,1256.666667,1256.666667,1026.666667,,12060,93.56,4.63,11.65,22.9,61.68,62.58
13-Dec,187,12,3.9,350,14,3.143333333,486.5,3.233333333,900,1030,1130,1230,1280,1280,1250,1023.333333,83.92,12040,92.58,5.68,12.3,23.88,61.83,62.96
8/15/2022,206,12.77,4.22,425,14.94,3.083333333,443,3.066666667,925,980,1080,1250,1200,1300,1166.666667,1020,,9475,93.89,4.78,12.33,22.56,63.01,63.8
01-May,206,10,1.98,600,16,3.2,506,3.2,900,1000,1100,1250,1280,1300,1300,1020,,13120,92.75,5.46,12.3,23.2,62.73,63.11
22-May,211,11.15,3.16,300,13,3.1,498,2.9,900,1020,1120,1220,1280,1310,1310,1020,,13275,93.63,4.8,12.8,22.49,62.64,63.47
31-May,209,10.41,4.51,500,13,3.2,502,3.1,900,1000,1100,1250,1280,1300,1300,1020,,13735,93.74,5.1,12.73,23.11,62.68,63.59
07-06-2023,215,12.89,3.6,0,18.59,2.6,484,2.733333333,900,1000,1073.333333,1220,1273.333333,1293.333333,1300,1016.666667,83.15,8610,93.9,4.53,12.29,22.54,61.98,62.93
07-05-2023,204,13.64,3.35,580,16.78,3.35,491.3333333,3.4,900,1086.666667,1080,1230,1240,1260,1302,1016.666667,82.83,9240,93.85,4.47,12.35,23.52,61.94,63.08
30-Apr,202,12.78,4.06,300,12,3.273333333,449,2.9,850,1050,1150,1220,1260,1263.333333,1250,1016.666667,,10095,93.21,4.89,11.41,23.36,61.12,62.04
21-Jan,182,12.99,3.95,450,14,2.876666667,513,3.5,900,1050,1150,1250,1300,1300,1280,1016.666667,85.47,12395,92.94,5.1,11.77,24.16,61.75,62.69
20-Jan,190,12.71,3.97,500,14,2.946666667,511,3.533333333,900,1050,1150,1240,1293.333333,1293.333333,1280,1016.666667,85.03,12585,93.25,4.43,11.68,24.19,61.8,62.66
26-Jun,210,23.25,4.99,,11.35,3.15,511.3333333,3.4,893.3333333,980,1080,1186.666667,1233.333333,1266.666667,1283.333333,1016.666667,,13030,93.02,5.46,12.71,22.94,62.38,63.14
25-May,193,11.55,4.73,400,13,3.05,488,2.8,900,1020,1120,1220,1280,1300,1310,1016.666667,82.96816931,13330,93,5.08,12.18,22.11,62.4,63.38
29-May,212,10.31,3.97,500,13,3.25,498,2.9,900,1000,1100,1213.333333,1260,1300,1286.666667,1016.666667,,13865,93.47,4.92,12.72,23.13,62.92,63.68
12-Mar,195,14.94,3.93,250,13,2.64,487.1666667,3.533333333,850,950,1100,1200,1300,1280,1280,1013.333333,85.63,10175,93.37,4.88,12.45,23.94,61.82,62.64
17-Apr,211,11.98,4.49,450,12,2.933333333,491.1666667,3.533333333,850,1050,1150,1220,1050,1246.666667,1250,1013.333333,,12025,93.73,4.41,11.71,22.82,61.69,62.36
15-Apr,199,9.98,4.16,500,13,2.883333333,493,3.533333333,850,1016.666667,1150,1220,1240,1250,1240,1006.666667,,12020,93.61,4.61,11.54,22.98,61.89,63.02
13-Mar,200,15,5.24,0,20,2.5,467.5,3.55,850,950,1100,1200,1300,1280,1280,1000,84.78,4195,93.51,4.82,12.32,23.71,61.97,62.57
12/18/2022,202,11.19,4.35,385,12.78,3.05,495,3.2,900,1000,1100,1150,1066.666667,1153.333333,1150,1000,,8040,93.62,4.82,12.02,23.5,62.94,63.54
8/17/2023,201,11.68,3.96,475,16.5,2.633333333,462,3.1,900,1000,1110,1200,1280,1200,1200,1000,82.87,9335,93.67,4.53,12.04,23.54,62.2,63.34
13-Oct,192,13,3.8,375,17,3.12,500,3.3,900,1020,1113.333333,1220,1280,1280,1263.333333,1000,84.33,10005,92.76,4.54,12.58,23.96,62.07,63.11
07-Apr,209,13.94,3.98,400,13,2.79,494,3.166666667,850,1050,1150,1220,1240,1260,1260,1000,67.33,10040,93.61,4.75,11.8,22.87,61.81,62.66
17-May,201,9.01,3.96,250,17,2.95,469.8333333,3.5,900,1000,1110,1220,1280,1300,1310,1000,,10100,93.28,4.96,12.37,22.32,62.39,62.91
11-08-2022,197,10.02,4.68,300,16.69,3,492,3.5,883.3333333,1000,1100,1150,1240,1256,1306.666667,1000,,10480,93.82,4.58,11.81,23.58,61.79,62.58
11-Jun,204,14.09,4.79,350,14.24,3.2,501,3.8,900,1000,1100,1220,1260,1280,1290,1000,,11075,94.39,4.26,12.55,22.3,62.76,63.53
07-Jun,198,14.53,4.61,400,15.16,2.833333333,479.1666667,3.666666667,900,1000,1100,1200,1250,1270,1290,1000,,11290,93.94,4.57,12.16,22.45,62.97,63.78
12/22/2022,201,11.92,6,0,13.37,2.8,482.8333333,3.6,900,1000,1100,1150,1260,1280,1150,1000,,11495,93.46,4.71,12.17,23.61,62.77,63.68
12/23/2022,196,13.17,5.98,0,11.08,3,517.8333333,3.6,900,1000,1100,1150,1260,1280,1150,1000,,11545,93.77,4.78,12.37,23.1,62.78,63.63
28-Feb,190,14.98,4.97,0,14,2.806666667,504.1666667,3.466666667,900,1010,1100,1200,1300,1280,1280,1000,84.12,11680,93.03,5.18,11.99,23.73,62.04,62.6
12-Jun,206,13.85,4.96,400,13.95,3.2,506.6666667,3.9,900,1000,1100,1220,1260,1280,1290,1000,,11700,94.43,4,12.31,22.9,62.59,63.51
25-Mar,194,11.2,5.77,,13,2.743333333,495,3.266666667,900,1000,1100,1200,1260,1280,1200,1000,,11965,93.27,5.32,12.38,23.25,62.32,63.14
08-Feb,187,15,4,450,15,2.85,484.8333333,3,900,1030,1150,1220,1280,1280,1280,1000,83.92,12000,92.83,5.37,11.76,24.08,61.68,62.47
02-May,204,12.49,4,400,13,3.183333333,497.1666667,3.4,850,1050,1150,1220,1260,1260,1240,1000,,12005,93.98,4.33,11.35,23.34,60.86,61.83
01-May,205,13,5.83,0,12,3.216666667,454.5,3.266666667,850,1050,1150,1220,1260,1260,1240,1000,,12010,93.86,4.42,11.31,23.5,60.9,61.96
15-Jan,189,13,3.91,300,16,2.743333333,483.8333333,3.066666667,900,1050,1150,1220,1280,1280,1250,1000,85.93,12030,93.1,5.06,11.84,23.33,61.9,62.72
12/26/2022,205,13.51,6.14,0,12.83,2.92,504,3.4,900,1000,1100,1150,1260,1280,1150,1000,,12210,93.62,4.79,12.1,23.91,62.74,63.31
28-Apr,207,12.94,3.96,450,12,3.216666667,472,3.3,850,1050,1150,1220,1260,1260,1250,1000,,12360,93.99,4.16,11.66,23.19,61.36,62.2
12/20/2022,201,12.67,5.41,0,12.01,3.1,494.5,3.5,900,1000,1100,1150,1240,1260,1150,1000,,12390,93.9,4.49,12.21,23.26,62.89,63.61
12/19/2022,204,11.45,4.44,500,12.68,3.1,505,3.5,900,1000,1100,1150,1250,1280,1150,1000,,12400,94.17,4.39,12.21,22.94,63.1,63.73
9/25/2023,192,11.04,3.95,500,14.11,3.12,497,3.2,900,1020,1113.333333,1220,1280,1280,1230,1000,72.85,12405,93.01,4.89,12.12,23.21,62.15,63.39
12/21/2022,197,13.34,5.99,0,11.09,3,492,3.5,900,1000,1100,1150,1240,1266,1150,1000,,12515,93.56,4.9,12.14,23.49,62.77,63.6
20-May,206,8.99,3.5,500,14,3.116666667,496.1666667,4.2,900,1020,1120,1220,1270,1300,1310,1000,,12575,92.74,5.65,12.49,22.21,62.47,63.31
15-Jul,215,10.72,4.85,375,13,3.13,491,2.9,900,1000,1090,1220,1260,1280,1290,1000,,12785,94.22,4.23,12.22,22.38,62.36,63.16
09-11-2023,188,12.58,6.02,419.8333333,13.46,3.113333333,500,3.4,930,1040,1150,1220,1300,1300,1180,1000,83.82,12800,93.18,5.07,12.21,23.22,62.17,63.36
04-Jun,211,10.8,4.66,400,13.89,3.1,523,3,900,1000,1100,1220,1260,1280,1270,1000,,12870,93.78,4.6,12.28,22.44,62.69,63.55
